TIPLOC	type	_location_	Description	latitude	longitude
LNDNBDE	FOI	51.503428,-0.084041	LONDON BRIDGE	51.503428	-0.084041
ECROYDN	FOI	51.374834,-0.092374	EAST CROYDON	51.374834	-0.092374
CLPHMJC	FOI	51.463358,-0.172529	CLAPHAM JUNCTION	51.463358	-0.172529
LEWISHM	FOI	51.465685,-0.014241	LEWISHAM	51.465685	-0.014241
STFD	BPLAN	51.541626,-0.003553	Stratford	51.541626	-0.003553
GTWK	FOI	51.156126,-0.160841	GATWICK AIRPORT	51.156126	-0.160841
PURLEY	FOI	51.339437,-0.110599	PURLEY	51.339437	-0.110599
RDNGSTN	FOI	51.459051,-0.972519	READING	51.459051	-0.972519
CLPHMJM	FOI	51.463358,-0.172529	CLAPHAM JUNCTION	51.463358	-0.172529
SELHRST	FOI	51.392468,-0.08901	SELHURST	51.392468	-0.08901
WDON	FOI	51.421879,-0.204748	WIMBLEDON	51.421879	-0.204748
BALHAM	FOI	51.44282,-0.151376	BALHAM	51.44282	-0.151376
VAUXHLM	FOI	51.486508,-0.12266	VAUXHALL	51.486508	-0.12266
WLOE	FOI	51.504259,-0.108069	LONDON WATERLOO (EAST)	51.504259	-0.108069
NWCROSS	FOI	51.476835,-0.032866	NEW CROSS	51.476835	-0.032866
BTHNLGR	FOI	51.523884,-0.059829	BETHNAL GREEN	51.523884	-0.059829
FNPK	FOI	51.564699,-0.10647	FINSBURY PARK	51.564699	-0.10647
HTHRGRN	FOI	51.451373,-0.00021	HITHER GREEN	51.451373	-0.00021
WNDMLBJ	FOI	51.383161,-0.089024	WINDMILL BRIDGE JN	51.383161	-0.089024
BHAMNWS	FOI	52.477322,-1.900398	BIRMINGHAM NEW STREET	52.477322	-1.900398
BLFR	FOI	51.511184,-0.103127	LONDON BLACKFRIARS	51.511184	-0.103127
THBDGS	FOI	51.117137,-0.161118	THREE BRIDGES	51.117137	-0.161118
NORWDJ	FOI	51.396662,-0.074963	NORWOOD JUNCTION	51.396662	-0.074963
WATRLMN	FOI	51.502617,-0.112791	LONDON WATERLOO	51.502617	-0.112791
STHALL	FOI	51.506064,-0.377425	SOUTHALL	51.506064	-0.377425
SHENFLD	FOI	51.630669,0.329855	SHENFIELD	51.630669	0.329855
WOKING	FOI	51.323095,-0.545764	WOKING	51.323095	-0.545764
STPXBOX	FOI	51.532306,-0.127625	ST PANCRAS INTERNATIONAL	51.532306	-0.127625
LIVST	FOI	51.518944,-0.080939	LONDON LIVERPOOL STREET	51.518944	-0.080939
FRNDNLT	FOI	51.521027,-0.105645	FARRINGDON	51.521027	-0.105645
DARTFD	FOI	51.447334,0.219692	DARTFORD	51.447334	0.219692
ILFORD	FOI	51.558994,0.068967	ILFORD	51.558994	0.068967
STALBCY	FOI	51.7505,-0.327639	ST ALBANS CITY	51.7505	-0.327639
MNCRPIC	FOI	53.477002,-2.230109	MANCHESTER PICCADILLY	53.477002	-2.230109
ALEXNDP	FOI	51.598006,-0.120434	ALEXANDRA PALACE	51.598006	-0.120434
BROMLYS	FOI	51.400023,0.018698	BROMLEY SOUTH	51.400023	0.018698
WHMPSTM	FOI	51.54842,-0.192387	WEST HAMPSTEAD THAMESLINK	51.54842	-0.192387
SYDENHM	FOI	51.427438,-0.054394	SYDENHAM	51.427438	-0.054394
LEEDS	FOI	53.794832,-1.54521	LEEDS	53.794832	-1.54521
CHDWLHT	FOI	51.567929,0.127972	CHADWELL HEATH	51.567929	0.127972
SURBITN	FOI	51.392422,-0.303974	SURBITON	51.392422	-0.303974
ORPNGTN	FOI	51.373579,0.088773	ORPINGTON	51.373579	0.088773
