"TIPLOC"	"mapped TIPLOC"	"Description"	"note"
"ABTHTCR"	"ABTHWCC"	"ABERTHAW TARMAC COLAS RAIL"	"Aberthaw Tarmac is the Tarmac Cement Works https://en.wikipedia.org/wiki/Aberthaw_Cement_Works"
"ARBRUSS"	"ARBRURS"	"ARBROATH UP SOUTH SIDING"	
"ARCQGBF"	"ARCQGF"	"ARCOW QUARRY GBRF"	
"ASHCGBF"	"ASHCWGF"	"ASHCHURCH MOD GBRF"	
"ASHIMGB"	"ASHIMKS"	"ASHTON IN MAKERFLD KS GBRF"	
"AVIESGB"	"AVIEMRS"	"AVIEMORE (SPEYSIDE) GBRF"	
"AVONHGB"	"AVONHAN"	"AVONMOUTH HANSON SDG GBRF"	
"BARAGBR"	"BARAFHH"	"BARASSIE YARD GBRF"	
"BLTCHGB"	"BLTCCE"	"BLETCHLEY CEMEX GBRF"	
"BNTBCRR"	"BNTBRSF"	"BARNETBY SDGS COLAS RAIL"	
"BOATGBF"	"BOATOFG"	"BOAT OF GARTEN GBRF"	
"BOWDREC"	"BOWD"	"BOW YARD RECEPTION"	
"BREDGBF"	"BREDTCN"	"BREDBURY TILCON GBRF"	
"BRHLCR"	"BRHLDGF"	"BARROW HILL COLAS RAIL"	
"BRIRGBF"	"BRIRLYH"	"BRIERLEY HILL GBRF"	
"BROXGBF"	"BROXDSG"	"BROXBOURNE DN TAMP SDG GBF"	
"CAMBTRS"	"CAMBTMD"	"CAMBRIDGE RECEPTION SDGS"	
"CARDGBR"	"CARDFTS"	"CARDIFF TIDAL TC GBRf"	"This is a mid-point pass between Alnmouth and Belford coincident with a change of power type EMU/DMU"
"CHTHAP"	"CHHL"	"CHATHILL APCO"	
"CLYHGBF"		"COLLYHURST STREET GBRF"	
"CNBKGBR"	"CNBKLAF"	"COLNBROOK LAFARGE GBRF"	
"COOMTCR"	"COOMMOR"	"MOORSWATER TARMAC COLAS"	
"COTOGBR"	"COTONH"	"COTON HILL TC GBRF"	
"DGNHDRG"	"DGNHREC"	"DAGENHAM DOCK RECP GBRF"	
"DIRFDR2"	"DIRFBRF"	"DAVENTRY DRS (TESCO)"	
"DLTNDS"	"DLTNDPL"	"DARLINGTON DOWN SIDINGS"	
"DONCIGB"	"DONCIPO"	"DONCASTER IPORT GBRF"	
"DONCWY6"	"DONCWY"	"DONCASTER WEST YD SID NO.6"	
"DONNGBF"	"DONNRFT"	"DONNINGTON RFT GBRF"	
